region;year;I_L_1;I_L_2;I_L_3;I_L_4;I_L_5;I_B_1;I_B_2;I_B_3;I_B_4;I_B_5
IND;2045;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
IND;2050;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
IND;2055;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
IND;2060;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
IND;2070;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
IND;2080;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
IND;2090;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
IND;2100;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
IND;2110;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
IND;2130;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
IND;2150;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
JPN;1965;1;1;1;1;1;1;1;1;1;1
JPN;1970;1;1;1;1;1;1;1;1;1;1
JPN;1975;1;1;1;1;1;1;1;1;1;1
JPN;1980;1;1;1;1;1;1;1;1;1;1
JPN;1985;1;1;1;1;1;1;1;1;1;1
JPN;1990;1;1;1;1;1;1;1;1;1;1
JPN;1995;1;1;1;1;1;1;1;1;1;1
JPN;2000;1;1;1;1;1;1;1;1;1;1
JPN;2005;1;1;1;1;1;1;1;1;1;1
JPN;2010;1;1;1;1;1;1;1;1;1;1
JPN;2015;1;1;1;1;1;1;1;1;1;1
JPN;2020;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33
JPN;2025;0.6;0.7;0.8;0.8;0.8;0.4;0.6;0.6;0.6;0.7
JPN;2030;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
JPN;2035;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
JPN;2040;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
JPN;2045;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
JPN;2050;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
JPN;2055;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
JPN;2060;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
JPN;2070;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
JPN;2080;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
JPN;2090;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
JPN;2100;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
